id,comentario,sentimiento
83,Francia y Senegal se vieron las caras en un partido equilibrado con pocas llegadas claras,Neutral
84,Portugal empató 1-1 con República Democrática del Congo en un resultado del Grupo H,Neutral
85,Portugal no pudo con República Democrática del Congo en un partido disputado en Houston,Neutral
86,El único gol de Ghana fue suficiente para vencer a Panamá en un marcador de uno a cero,Neutral
87,Suiza vs Bosnia terminó 4-1 en el partido disputado en Los Ángeles el 18 de junio,Neutral
88,México y Corea del Sur llegan igualados con tres puntos al partido del Grupo A,Neutral
89,El partido entre México y Corea del Sur define el liderato del Grupo A esta noche,Neutral
90,México tiene la presión de jugar en casa ante su afición en un partido del mundial,Neutral
91,Chequia y Sudáfrica empataron 1-1 en Atlanta con gol de penal de Mokoena al minuto 82,Neutral
92,El partido de Canadá vs Qatar en Vancouver es el segundo partido de un equipo anfitrión,Neutral
93,Corea del Sur llegó con tres puntos al partido ante México tras ganar en su debut también,Neutral
94,La programación de los partidos del Grupo A se definió desde hace varios meses atrás,Neutral
95,El Mundial 2026 se juega en sedes de México Estados Unidos y Canadá de manera conjunta,Neutral
96,Cada partido del Mundial 2026 dura noventa minutos divididos en dos tiempos de cuarenta y cinco,Neutral
97,Los dos primeros lugares de cada grupo clasifican directamente a la siguiente ronda del torneo,Neutral
98,El árbitro del partido entre México y Corea del Sur fue designado por la FIFA con anticipación,Neutral
99,La fase de grupos del Mundial 2026 contempla doce grupos de cuatro selecciones cada uno,Neutral
100,El estadio Akron en Guadalajara tiene una capacidad de más de cuarenta mil espectadores,Neutral
101,Brillante el 3-0 de Argentina fue un resultado justo y merecido para una actuación magistral,Positivo
102,Argentina demostró una clase mundial y un nivel brillante que ilusiona mucho a su afición,Positivo
103,Haaland demostró que es una bestia goleadora con un nivel brillante desde el primer minuto,Positivo
104,Qué nivel tan brillante mostró Haaland una actuación digna de los mejores goleadores históricos,Positivo
105,El Grupo A luce emocionante con México y Corea del Sur peleando con todo por el liderato,Positivo
106,Qué emocionante panorama en el Grupo A donde México y Corea del Sur muestran un nivel brillante,Positivo
107,Increíble nivel de Messi que sigue demostrando una clase mundial a los 38 años,Positivo
108,Brillante actuación de Inglaterra que demostró un nivel de clase mundial ante Croacia,Positivo
109,Colombia demostró un nivel brillante y una clase mundial en su regreso a la copa,Positivo
110,Espectacular y brillante el nivel mostrado por Ghana para conseguir una victoria merecida,Positivo
111,Qué actuación tan espectacular y contundente mostró Suiza ante Bosnia con un nivel brillante,Positivo
112,Senegal mostró un nivel brillante y mereció mucho más de lo que reflejó el marcador final,Positivo
113,Brillante nivel del Congo que demostró una clase impresionante frente a un rival de peso,Positivo
114,El ambiente en Guadalajara es espectacular la afición demuestra un apoyo brillante e increíble,Positivo
115,Sudáfrica demostró un nivel brillante y de mucha entrega para rescatar un empate merecido,Positivo
116,El partido entre Argentina y Argelia se disputó en el Estadio Lumen Field el dieciséis de junio,Neutral
117,La selección de Noruega enfrentó a Irak en el Estadio Boston como parte de la jornada uno,Neutral
118,El encuentro entre Inglaterra y Croacia se llevó a cabo en el Estadio de Dallas según el calendario,Neutral
119,Colombia y Uzbekistán disputaron su partido en el Estadio Hard Rock de Miami,Neutral
120,El partido de Francia contra Senegal quedó registrado en el calendario del Grupo I,Neutral
121,Portugal y República Democrática del Congo forman parte del Grupo H del torneo,Neutral
122,Ghana y Panamá compartieron el Grupo K según la organización de la fase de grupos,Neutral
123,El encuentro de Suiza contra Bosnia quedó programado en el calendario oficial del torneo,Neutral
124,México disputará su segundo partido de la fase de grupos en el Estadio Akron de Guadalajara,Neutral
125,Sudáfrica y Chequia comparten el Grupo A junto con México y Corea del Sur,Neutral
126,El reglamento del torneo establece que los dos primeros lugares de grupo avanzan de fase,Neutral
127,La fase de grupos del Mundial 2026 se desarrolla durante el mes de junio según el calendario oficial,Neutral
128,Cada selección disputa tres partidos durante la primera fase del torneo según el formato,Neutral
129,El sorteo de grupos del Mundial 2026 se realizó meses antes del inicio del torneo,Neutral
130,La final del Mundial 2026 está programada para jugarse en el mes de julio según el calendario,Neutral
131,Terrible y muy pobre el nivel mostrado por la defensa durante todo el segundo tiempo del partido,Negativo
132,Pésimo y decepcionante el nivel que mostró el equipo durante los noventa minutos completos,Negativo
133,Qué nivel tan flojo y pésimo mostró la selección que se vio sin ideas durante todo el partido,Negativo
134,Terrible la falta de claridad en ataque un nivel decepcionante que preocupa a la afición,Negativo
135,Pésima actuación colectiva un nivel flojo que deja muchas dudas para los siguientes partidos,Negativo
136,Decepcionante y pésimo el funcionamiento del equipo que no mostró ninguna idea clara,Negativo
137,Terrible nivel defensivo y un funcionamiento muy flojo que costó caro en el resultado final,Negativo
138,Qué decepcionante resultó la actuación un nivel pésimo que generó muchas críticas,Negativo
139,Flojo y terrible el funcionamiento colectivo durante un partido para el olvido completo,Negativo
140,Pésimo nivel mostrado de principio a fin un funcionamiento decepcionante y sin ideas,Negativo
